"gs_name","gs_description"
"ACEVEDO_LIVER_TUMOR_VS_NORMAL_ADJACENT_TISSUE_UP","Genes up-regulated in liver tumor compared to the normal adjacent tissue."
"ACEVEDO_METHYLATED_IN_LIVER_CANCER_DN","Genes whose DNA is hypo-methylated in hepatocellular carcinoma (HCC) compared to normal liver."
"ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_DN","Genes down-regulated in normal tissue adjacent to liver tumor, compared to the normal liver samples."
"ACEVEDO_NORMAL_TISSUE_ADJACENT_TO_LIVER_TUMOR_UP","Genes up-regulated in normal tissue adjacent to liver tumor, compared to the normal liver samples."
"ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_DN","Genes down-regulated in K562 cells (lymphoblast) by MYC [GeneID=4609] in the presence of CKN1B [GeneID=1027]."
"ACOSTA_PROLIFERATION_INDEPENDENT_MYC_TARGETS_UP","Genes up-regulated in K562 cells (lymphoblast) by MYC [GeneID=4609] in the presence of CKN1B [GeneID=1027]."
"ADDYA_ERYTHROID_DIFFERENTIATION_BY_HEMIN","Selected genes changed in K562 (immortalized erythroleukemia) cells induced by hemin [PubChem=26945] treatment to express erythroid properties."
"AFFAR_YY1_TARGETS_DN","Genes down-regulated in MEF cells (embryonic fibroblast) expressing ~25% of YY1 [GeneID=7528]."
"AFFAR_YY1_TARGETS_UP","Genes up-regulated in MEF cells (embryonic fibroblast) expressing ~25% of YY1 [GeneID=7528]."
"AGARWAL_AKT_PATHWAY_TARGETS","Angiogenic and metastatic genes changed in RKO cells (colorectal cancer) upon perturbation of key components of AKT pathway."
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_DN","Down-regulated genes whose expression correlates with copy number losses in pancreatic adenocarcinoma cell lines and primary tumor specimens."
"AGUIRRE_PANCREATIC_CANCER_COPY_NUMBER_UP","Up-regulated genes whose expression correlates with copy number gains in pancreatic adenocarcinoma cell lines and primary tumor specimens."
"AIGNER_ZEB1_TARGETS","Genes up-regulated in MDA-MB-231 cells (breast cancer) after knockdown of ZEB1 [GeneID=6935] by RNAi."
"AIYAR_COBRA1_TARGETS_DN","Genes down-regulated in T47D cells (breast cancer) after COBRA1 [GeneID=25920] knockdown by RNAi."
"AIYAR_COBRA1_TARGETS_UP","Genes up-regulated in T47D cells (breast cancer) after COBRA1 [GeneID=25920] knockdown by RNAi."
"AKL_HTLV1_INFECTION_DN","Genes down-regulated in WE17/10 cells (CD4+ [GeneID=920] T lymphocytes) infected by HTLV1 (and thus displaying low CD7 [GeneID=924]) compared to the uninfected (i.e., CD7+) cells."
"AKL_HTLV1_INFECTION_UP","Genes up-regulated in WE17/10 cells (CD4+ [GeneID=920] T lymphocytes) infected by HTLV1 (and thus displaying low CD7 [GeneID=924]) compared to the uninfected (i.e., CD7+) cells."
"ALCALA_APOPTOSIS","Genes able to induce cell death in an expression cDNA library screen."
"ALCALAY_AML_BY_NPM1_LOCALIZATION_DN","Genes down-regulated in acute myeloid leukemia (AML) with respect to cellular localization of NPM1 [GeneID=4869]: cytoplasmic vs. nucleolar."
"ALCALAY_AML_BY_NPM1_LOCALIZATION_UP","Genes up-regulated in acute myeloid leukemia (AML) with respect to cellular localization of NPM1 [GeneID=4869]: cytoplasmic vs. nucleolar."
"ALFANO_MYC_TARGETS","Genes up-regulated hT-RPE cells (immortalized retinal pigment epithelium) by MYC [GeneID=4609]."
"ALONSO_METASTASIS_DN","Down-regulated genes in melanoma tumors that developed metastatic disease compared to primary melanoma that did not."
"ALONSO_METASTASIS_EMT_DN","EMT (epithelial-mesenchymal transition) genes down-regulated genes in melanoma tumous that developed metastatic disease compared to primary melanoma that did not."
"ALONSO_METASTASIS_EMT_UP","EMT (epithelial-mesenchymal transition) genes up-regulated genes in melanoma tumous that developed metastatic disease compared to primary melanoma that did not."
"ALONSO_METASTASIS_NEURAL_UP","Neural-related genes up-regulated in melanoma tumors that developed metastases compared to primary melanoma that did not."
"ALONSO_METASTASIS_UP","Up-regulated genes in melanoma tumous that developed metastatic disease compared to primary melanoma that did not."
"ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION","Genes up-regulated in lung tissue upon LPS aspiration with mechanical ventilation (MV) compared to control (PBS aspiration without MV)."
"AMBROSINI_FLAVOPIRIDOL_TREATMENT_TP53","Genes down-regulated by flavopiridol [PubChem=5287969] in the HCT116 cells (colon cancer) depending on their TP53 [GeneID=7157] status: wild-type vs loss of the gene's function (LOF)."
"AMIT_DELAYED_EARLY_GENES","Delayed early genes (DEG) which are coordinately down-regulated in multiple epithelial tumor types."
"AMIT_EGF_RESPONSE_120_HELA","Genes whose expression peaked at 120 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_120_MCF10A","Genes whose expression peaked at 120 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_20_HELA","Genes whose expression peaked at 20 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_20_MCF10A","Genes whose expression peaked at 20 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_240_HELA","Genes whose expression peaked at 240 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_240_MCF10A","Genes whose expression peaked at 240 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_40_HELA","Genes whose expression peaked at 40 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_40_MCF10A","Genes whose expression peaked at 40 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_480_HELA","Genes whose expression peaked at 480 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_480_MCF10A","Genes whose expression peaked at 480 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_60_HELA","Genes whose expression peaked at 60 min after stimulation of HeLa cells with EGF [GeneID=1950]."
"AMIT_EGF_RESPONSE_60_MCF10A","Genes whose expression peaked at 60 min after stimulation of MCF10A cells with EGF [GeneID=1950]."
"AMIT_SERUM_RESPONSE_120_MCF10A","Genes whose expression peaked at 120 min after stimulation of MCF10A cells with serum."
"AMIT_SERUM_RESPONSE_20_MCF10A","Genes whose expression peaked at 20 min after stimulation of MCF10A cells with serum."
"AMIT_SERUM_RESPONSE_240_MCF10A","Genes whose expression peaked at 240 min after stimulation of MCF10A cells with serum."
"AMIT_SERUM_RESPONSE_40_MCF10A","Genes whose expression peaked at 40 min after stimulation of MCF10A cells with serum."
"AMIT_SERUM_RESPONSE_480_MCF10A","Genes whose expression peaked at 480 min after stimulation of MCF10A cells with serum."
"AMIT_SERUM_RESPONSE_60_MCF10A","Genes whose expression peaked at 60 min after stimulation of MCF10A cells with serum."
"AMUNDSON_DNA_DAMAGE_RESPONSE_TP53","Genes discriminating TP53 [GeneID=7157] status across various genotoxic stress agents."
"AMUNDSON_RESPONSE_TO_ARSENITE","Genes discriminating responses to sodium arsenite [PubChem=26435] from other stresses."
"ANASTASSIOU_MULTICANCER_INVASIVENESS_SIGNATURE","Invasiveness signature resulting from cancer cell/microenvironment interaction."
"ANDERSEN_CHOLANGIOCARCINOMA_CLASS1","Genes overexpressed in cholangiocarcinoma class 1 associated with good prognosis"
"ANDERSEN_CHOLANGIOCARCINOMA_CLASS2","Genes overexpressed in cholangiocarcinoma class 2 associated with poor prognosis."
"ANDERSEN_LIVER_CANCER_KRT19_DN","Genes under-expressed in KRT19-positive [GeneID=3880] hepatocellular carcinoma."
"ANDERSEN_LIVER_CANCER_KRT19_UP","Genes over-expressed in KRT19-positive [GeneID=3880] hepatocellular carcinoma."
"APPEL_IMATINIB_RESPONSE","Genes up-regulated by imatinib [PubChem=5291] during dendritic cell differentiation."
"APPIERTO_RESPONSE_TO_FENRETINIDE_DN","Genes down-regulated in A2780 cells (ovarian carcinoma) exposed to fenretinide [PubChem=1744]."
"APPIERTO_RESPONSE_TO_FENRETINIDE_UP","Genes up-regulated in A2780 cells (ovarian carcinoma) exposed to fenretinide [PubChem=1744]."
"APRELIKOVA_BRCA1_TARGETS","Genes down-regulated in embryonic stem cells with BRCA1 [GeneID=672] loss of function (LOF)."
"ASGHARZADEH_NEUROBLASTOMA_POOR_SURVIVAL_DN","Down-regulated genes associated with poor survival prognosis of patients with metastatic neuroblastoma that lack MYCN [GeneID=4613] amplification."
"ASTIER_INTEGRIN_SIGNALING","Integrin signaling signature in precursor B leukemia (PBL) cells:  fibronectin (FN1) [GeneID=2335] vs control treatment with poly-L-lysine."
"ASTON_MAJOR_DEPRESSIVE_DISORDER_DN","Genes down-regulated in the temporal cortex samples from patients with major depressive disorder."
"ASTON_MAJOR_DEPRESSIVE_DISORDER_UP","Genes up-regulated in the temporal cortex samples from patients with major depressive disorder."
"AUJLA_IL22_AND_IL17A_SIGNALING","Genes changed in HBE cells (bronchial epithelium) after treatment with IL22 and IL17A [GeneID=50616;3605]."
"AUNG_GASTRIC_CANCER","Selected genes specifically expressed in gastric cancer."
"AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_DN","Genes down-regulated in RWPE-1 cells (prostate cancer) upon expression of constitutively active form of STAT3 [GeneID=6774]."
"AZARE_NEOPLASTIC_TRANSFORMATION_BY_STAT3_UP","Genes up-regulated in RWPE-1 cells (prostate cancer) upon expression of constitutively active form of STAT3 [GeneID=6774]."
"AZARE_STAT3_TARGETS","Genes up-regulated in RPWE-1 cells by activated STAT3 [GeneID=6774]."
"BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_DN","Genes down-regulated in D-341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6-BG [PubChem=2578;4578]."
"BACOLOD_RESISTANCE_TO_ALKYLATING_AGENTS_UP","Genes up-regulated in D-341 MED (OBR) cells (medulloblastoma) resistant to both carmustine and O6-BG [PubChem=2578;4578]."
"BAE_BRCA1_TARGETS_DN","Genes concordantly down-regulated in DU-145 and MCF-7 cells (lprostate, breast cancer) upon expression of BRCA1."
"BAE_BRCA1_TARGETS_UP","Genes concordantly up-regulated in DU-145 and MCF-7 cells (lprostate, breast cancer) upon expression of BRCA1."
"BAELDE_DIABETIC_NEPHROPATHY_DN","Genes down-regulated in glomeruli of kidneys from patients with diabetic nephropathy (type 2 diabetes mellitus)."
"BAELDE_DIABETIC_NEPHROPATHY_UP","Genes up-regulated in glomeruli of kidneys from patients with diabetic nephropathy (type 2 diabetes mellitus)."
"BAFNA_MUC4_TARGETS_UP","Genes up-regulated in NIH3T3 cells (fibroblast) engineered to stably express MUC4 [GeneID=4585]."
"BAKER_HEMATOPOESIS_STAT1_TARGETS","STAT1 [GeneID=6772] targets in hematopoetic signaling."
"BAKER_HEMATOPOESIS_STAT5_TARGETS","STAT5 [GeneID=6777] targets in hematopoietic signaling."
"BAKER_HEMATOPOIESIS_STAT3_TARGETS","STAT3 [GeneID=6774] targets in hematopoietic signaling."
"BAKKER_FOXO3_TARGETS_DN","Genes down-regulated in I/11 erythroblast cells upon expression of an activated form of FOXO3 [GeneID=2309]."
"BAKKER_FOXO3_TARGETS_UP","Genes up-regulated in I/11 erythroblast cells upon expression of an activated form of FOXO3 [GeneID=2309]."
"BALDWIN_PRKCI_TARGETS_UP","Genes up-regulated in U87MG cells (glioblastoma multiforme) after knockdown of PRKCI [GeneID=5584] by RNAi."
"BALLIF_DEVELOPMENTAL_DISABILITY_P16_P12_DELETION","Candidate genes in the pericentromeric microdeletion in 16p11.2-p12.2 associated with developmental disabilities."
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_DN","Genes down-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_24HR_UP","Genes up-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_DN","Genes down-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_MGMT_48HR_UP","Genes up-regulated in T98G cells (glioma, express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_DN","Genes down-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_24HR_UP","Genes up-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 24 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_DN","Genes down-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h."
"BANDRES_RESPONSE_TO_CARMUSTIN_WITHOUT_MGMT_48HR_UP","Genes up-regulated in A172 cells (glioma, does not express MGMT [GeneID=4255]) by carmustine [PubChem=2578] at 48 h."
"BARIS_THYROID_CANCER_DN","Genes down-regulated in oncocytic follicular carcinoma (FTC) vs mitochondrial-rich papillary carcinoma (PTC) types of thyroid cancer."
"BARIS_THYROID_CANCER_UP","Genes up-regulated in oncocytic follicular carcinoma (FTC) vs mitochondrial-rich papillary carcinoma (PTC) types of thyroid cancer."
"BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_DN","Down-regulated genes in non-neoplastic mucosa samples from colon cancer patients who developed recurrence of the disease."
"BARRIER_CANCER_RELAPSE_NORMAL_SAMPLE_UP","Up-regulated genes in non-neoplastic mucosa samples from colon cancer patients who developed recurrence of the disease."
"BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_DN","Down-regulated genes in tumor samples from colon cancer patients who developed recurrence of the disease."
"BARRIER_CANCER_RELAPSE_TUMOR_SAMPLE_UP","Up-regulated genes in tumor samples from colon cancer patients who developed recurrence of the disease."
"BARRIER_COLON_CANCER_RECURRENCE_DN","Down-regulated genes from the 70-gene prognosis predictor for stage 2 colon cancer, based on non-neoplastic mucosa gene expression profiles."
"BARRIER_COLON_CANCER_RECURRENCE_UP","Up-regulated genes from the 70-gene prognosis predictor for stage 2 colon cancer, based on non-neoplastic mucosa gene expression profiles."
"BASAKI_YBX1_TARGETS_DN","Genes down-regulated in SKOC-3 cells (ovarian cancer) after YB-1 (YBX1) [GeneID=4904] knockdown by RNAi."
"BASAKI_YBX1_TARGETS_UP","Genes up-regulated in SKOC-3 cells (ovarian cancer) after YB-1 (YBX1) [GeneID=4904] knockdown by RNAi."
"BASSO_B_LYMPHOCYTE_NETWORK","Genes which comprise the top 1% of highly interconnected genes (major hubs) that account for most of gene interactions in the reconstructed regulatory networks from expression profiles in B lymphocytes."
"BASSO_CD40_SIGNALING_DN","Gene down-regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma)."
"BASSO_CD40_SIGNALING_UP","Gene up-regulated by CD40 [GeneID=958] signaling in Ramos cells (EBV negative Burkitt lymphoma)."
"BASSO_HAIRY_CELL_LEUKEMIA_DN","Genes down-regulated in hairy cell leukemia (HCL) compared with normal and other neoplastic B cell populations."
"BASSO_HAIRY_CELL_LEUKEMIA_UP","Genes up-regulated in hairy cell leukemia (HCL) compared with normal and other neoplastic B cell populations."
"BAUS_TFF2_TARGETS_DN","Genes down-regulated in pyloric atrium with knockout of TFF2 [GeneID=7032]."
"BAUS_TFF2_TARGETS_UP","Genes up-regulated in pyloric atrium with knockout of TFF2 [GeneID=7032]."
"BECKER_TAMOXIFEN_RESISTANCE_DN","Genes down-regulated in a breast cancer cell line resistant to tamoxifen [PubChem=5376] compared to the parental line sensitive to the drug."
"BECKER_TAMOXIFEN_RESISTANCE_UP","Genes up-regulated in a breast cancer cell line resistant to tamoxifen [PubChem=5376] compared to the parental line sensitive to the drug."
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_AND_PAX3","Genes up-regulated in SaOS-2 cells (osteosarcoma) upon expression of PAX3-FOXO1 [GeneID=5077;2308] but down-regulated by PAX3 expression off adenoviral vectors."
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_DN","Genes down-regulated in SaOS-2 cells (osteosarcoma) upon expression of PAX3-FOXO1 [GeneID=5077;2308] fusion protein off an adenoviral vector."
"BEGUM_TARGETS_OF_PAX3_FOXO1_FUSION_UP","Genes up-regulated in SaOS-2 cells (osteosarcoma) upon expression of PAX3-FOXO1 [GeneID=5077;2308] fusion protein off an adenoviral vector."
"BEIER_GLIOMA_STEM_CELL_DN","Genes down-regulated in cancer stem cells derived from glyoblastoma tumors: CD133+ [GeneID=8842]  vs. CD133- cells."
"BEIER_GLIOMA_STEM_CELL_UP","Genes up-regulated in cancer stem cells derived from glyoblastoma tumors: CD133+ [GeneID=8842]  vs. CD133- cells."
"BENNETT_SYSTEMIC_LUPUS_ERYTHEMATOSUS","Genes significantly up-regulated in the blood mononuclear cells from patients with systemic lupus erythematosus compared to those from healthy persons."
"BENPORATH_CYCLING_GENES","Genes showing cell-cycle stage-specific expression [PMID=12058064]."
"BENPORATH_EED_TARGETS","Set 'Eed targets': genes identified by ChIP on chip as targets of the Polycomb protein EED [GeneID=8726] in human embryonic stem cells."
"BENPORATH_ES_1","Set 'ES exp1': genes overexpressed in human embryonic stem cells according to 5 or more out of 20 profiling studies."
"BENPORATH_ES_2","Set 'Set 'ES exp2': genes overexpressed in human embryonic stem cells according to a meta-analysis of 8 profiling studies."
"BENPORATH_ES_CORE_NINE","Set 'Core 9': 'embryonic stem cell' transcription regulators that are preferentially and coordinately overexpressed in the high-grade, ER-negative breast cancer tumors."
"BENPORATH_ES_CORE_NINE_CORRELATED","Breast cancer compendium: 100 transcription regulators showing most correlated expression with the 9 'embryonic stem cell' transcription factors that are preferentially and coordinately overexpressed in the high-grade, ER-negative breast cancer tumors."
"BENPORATH_ES_WITH_H3K27ME3","Set 'H3K27 bound': genes posessing the trimethylated H3K27 (H3K27me3) mark in their promoters in human embryonic stem cells, as identified by ChIP on chip."
"BENPORATH_MYC_MAX_TARGETS","Set 'Myc targets2': targets of c-Myc [GeneID=4609] and Max [GeneID=4149] identified by ChIP on chip in a Burkitt's lymphoma cell line; overlap set."
"BENPORATH_MYC_TARGETS_WITH_EBOX","Set 'Myc targets1': targets of c-Myc [GeneID=4609] identified by ChIP on chip in cultured cell lines, focusing on E-box-containing genes; high affinity bound subset"
"BENPORATH_NANOG_TARGETS","Set 'Nanog targets': genes upregulated and identified by ChIP on chip as Nanog [GeneID=79923] transcription factor targets in human embryonic stem cells."
"BENPORATH_NOS_TARGETS","Set 'NOS targets': genes upregulated and identified by ChIP on chip as targets of the transcription factors NANOG , OCT4, and Sox2 [GeneID=79923;5460;6657] (NOS) in human embryonic stem cells."
"BENPORATH_OCT4_TARGETS","Set 'Oct4 targets': genes upregulated and identified by ChIP on chip as OCT4 [GeneID=5460] transcription factor targets in human embryonic stem cells."
"BENPORATH_PRC2_TARGETS","Set 'PRC2 targets': Polycomb Repression Complex 2 (PRC) targets; identified by ChIP on chip on human embryonic stem cells as genes that: posess the trimethylated H3K27 mark in their promoters and are bound by SUZ12 [GeneID=23512] and EED [GeneID=8726] Polycomb proteins."
"BENPORATH_PROLIFERATION","Set 'Proliferation Cluster': genes defined in human breast tumor expression data."
"BENPORATH_SOX2_TARGETS","Set 'Sox2 targets': genes upregulated and identified by ChIP on chip as SOX2 [GeneID=6657] transcription factor targets in human embryonic stem cells."
"BENPORATH_SUZ12_TARGETS","Set 'Suz12 targets': genes identified by ChIP on chip as targets of the Polycomb protein SUZ12 [GeneID=23512] in human embryonic stem cells."
"BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins; the changes did not depend on expression of constitutively active (Q63L) form of RHOA [GeneID=387]."
"BERENJENO_ROCK_SIGNALING_NOT_VIA_RHOA_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins; the changes did not depend on expression of constitutively active (Q63L) form of RHOA [GeneID=387]."
"BERENJENO_TRANSFORMED_BY_RHOA_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector."
"BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) transfrormed by expression of constitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression did NOT reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins."
"BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) transfrormed by expression of constitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression did NOT reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins."
"BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_DN","Genes down-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins."
"BERENJENO_TRANSFORMED_BY_RHOA_REVERSIBLY_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector; their expression reverted completely after treatment with Y27632 [PubChem=123862], an inhibitor of ROCK proteins."
"BERENJENO_TRANSFORMED_BY_RHOA_UP","Genes up-regulated in NIH3T3 cells (fibroblasts) transformed by  expression of contitutively active (Q63L) form of RHOA [GeneID=387] off plasmid vector."
"BERGER_MBD2_TARGETS","Genes strongly up-regulated in colon tissue upon MBD2 [GeneID=8932] knockout."
"BERNARD_PPAPDC1B_TARGETS_DN","Genes down-regulated in ZR-75-1 cells (breast cancer, amplified 8p11-12 region) upon knockdown of PPAPDC1B [GeneID=84513] by RNAi."
"BERNARD_PPAPDC1B_TARGETS_UP","Genes up-regulated in ZR-75-1 cells (breast cancer, amplified 8p11-12 region) upon knockdown of PPAPDC1B [GeneID=84513] by RNAi."
"BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_DN","Genes down-regulated in the invasive ductal carcinoma (IDC) compared to the invasive lobular carcinoma (ILC), the two major pathological types of breast cancer."
"BERTUCCI_INVASIVE_CARCINOMA_DUCTAL_VS_LOBULAR_UP","Genes up-regulated in the invasive ductal carcinoma (IDC) compared to the invasive lobular carcinoma (ILC), the two major pathological types of breast cancer."
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_DN","Genes down-regulated in medullary breast cancer (MBC) relative to ductal breast cancer (DBD)."
"BERTUCCI_MEDULLARY_VS_DUCTAL_BREAST_CANCER_UP","Genes up-regulated in medullary breast cancer (MBC) relative to ductal breast cancer (DBD)."
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_DN","Genes bound by ESR1 [GeneID=2099] and down-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer)."
"BHAT_ESR1_TARGETS_NOT_VIA_AKT1_UP","Genes bound by ESR1 [GeneID=2099] and up-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer)."
"BHAT_ESR1_TARGETS_VIA_AKT1_DN","Genes bound by ESR1 [GeneID=2099] and down-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer) expressing constitutevly active form of AKT1 [GeneID=207]."
"BHAT_ESR1_TARGETS_VIA_AKT1_UP","Genes bound by ESR1 [GeneID=2099] and up-regulated by estradiol [PubChem=5757] in MCF-7 cells (breast cancer) expressing constitutevly active form of AKT1 [GeneID=207]."
"BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_DN","Down-regulated genes in MDA-MB-435 cells (breast cancer) undergoing G2/M arrest after treatment with 2-methoxyestradiol (2ME2) [PubChem=1573]."
"BHATI_G2M_ARREST_BY_2METHOXYESTRADIOL_UP","Up-regulated genes in MDA-MB-435 cells (breast cancer) undergoing G2/M arrest after treatment with 2-methoxyestradiol (2ME2)[PubChem=1573]."
"BHATTACHARYA_EMBRYONIC_STEM_CELL","The 'stemnes' signature: genes up-regulated and common to 6 human embryonic stem cell lines tested."
"BIDUS_METASTASIS_DN","Genes down-regulated in endometroid endometrial tumors from patients with lymph node metastases compared to those without the metastases."
